{'regions': [5.1, 5.0], 'path-length': [27.78, 27.82], 'path-imp': [13.5, 13.54], 'path-change': [7.18, 6.36], 'iterations': [309.3, 309.3], 'changes': [46.86, 30.74], 'steps': [309.3, 0.0], 'max_iterations': [15288.0, 15288.0], 'max_changes': [78.0, 78.0], 'reward': [26.48, 35.06]}
{'regions': [5.9, 5.82], 'path-length': [28.24, 28.24], 'path-imp': [14.3, 14.3], 'path-change': [10.88, 3.42], 'iterations': [317.54, 317.54], 'changes': [46.1, 31.76], 'steps': [317.54, 0.0], 'max_iterations': [15288.0, 15288.0], 'max_changes': [78.0, 78.0], 'reward': [26.88, 24.12]}
{'regions': [4.44, 4.36], 'path-length': [28.82, 28.9], 'path-imp': [13.16, 13.24], 'path-change': [9.24, 4.0], 'iterations': [352.54, 352.54], 'changes': [46.42, 31.16], 'steps': [352.54, 0.0], 'max_iterations': [15288.0, 15288.0], 'max_changes': [78.0, 78.0], 'reward': [28.64, 29.2]}
{'regions': [2.84, 2.8], 'path-length': [31.6, 31.52], 'path-imp': [13.72, 13.64], 'path-change': [10.2, 3.44], 'iterations': [316.18, 316.18], 'changes': [49.56, 28.44], 'steps': [316.18, 0.0], 'max_iterations': [15288.0, 15288.0], 'max_changes': [78.0, 78.0], 'reward': [30.7, 34.24]}
{'regions': [5.38, 5.34], 'path-length': [28.58, 28.6], 'path-imp': [15.24, 15.26], 'path-change': [11.02, 4.24], 'iterations': [232.82, 232.82], 'changes': [44.22, 33.64], 'steps': [232.82, 0.0], 'max_iterations': [15288.0, 15288.0], 'max_changes': [78.0, 78.0], 'reward': [29.92, 25.64]}
{'regions': [4.28, 4.14], 'path-length': [30.32, 30.34], 'path-imp': [15.5, 15.52], 'path-change': [10.44, 5.08], 'iterations': [319.96, 319.96], 'changes': [44.06, 33.02], 'steps': [319.96, 0.0], 'max_iterations': [15288.0, 15288.0], 'max_changes': [78.0, 78.0], 'reward': [31.24, 36.28]}
{'regions': [4.18, 4.0], 'path-length': [29.9, 30.52], 'path-imp': [13.96, 14.58], 'path-change': [8.64, 5.94], 'iterations': [347.46, 347.46], 'changes': [45.16, 31.6], 'steps': [347.46, 0.0], 'max_iterations': [15288.0, 15288.0], 'max_changes': [78.0, 78.0], 'reward': [27.84, 35.44]}
{'regions': [3.88, 3.76], 'path-length': [30.44, 30.4], 'path-imp': [13.9, 13.86], 'path-change': [9.7, 4.16], 'iterations': [429.18, 429.18], 'changes': [45.94, 32.06], 'steps': [429.18, 0.0], 'max_iterations': [15288.0, 15288.0], 'max_changes': [78.0, 78.0], 'reward': [29.1, 31.86]}
{'regions': [5.06, 4.94], 'path-length': [28.6, 28.52], 'path-imp': [13.96, 13.88], 'path-change': [9.36, 4.52], 'iterations': [274.32, 274.32], 'changes': [45.08, 31.82], 'steps': [274.32, 0.0], 'max_iterations': [15288.0, 15288.0], 'max_changes': [78.0, 78.0], 'reward': [27.26, 28.82]}
{'regions': [4.26, 4.16], 'path-length': [28.86, 28.86], 'path-imp': [11.78, 11.78], 'path-change': [8.92, 2.86], 'iterations': [333.22, 333.22], 'changes': [48.2, 28.32], 'steps': [333.22, 0.0], 'max_iterations': [15288.0, 15288.0], 'max_changes': [78.0, 78.0], 'reward': [25.52, 20.16]}
